actor_clean,actor_clean_lower,left,right,centre,unknown
Antifascist Action,antifascist action,1,0,1,0
Labor Group (Egypt),labor group (egypt),0,0,0,1
FGS: Federation of Young Socialists,fgs: federation of young socialists,1,0,0,0
Peruvian Group (Italy),peruvian group (italy),0,0,0,1
UNITA: National Union of Theater and Audiovisual Performers,unita: national union of theater and audiovisual performers,1,0,0,0
In School Learning Network,in school learning network,0,0,0,1
I Open,i open,0,0,0,1
Animal Save Movement,animal save movement,1,0,0,0
FISI: Italian Federation of Trade Unions,fisi: italian federation of trade unions,0,0,0,1
Afghan Group (Italy),afghan group (italy),0,0,0,1
IW: Together for the Wedding Industry,iw: together for the wedding industry,0,0,0,1
CR: Changing Course - Communist Youth Organization,cr: changing course - communist youth organization,1,0,0,0
Gay Party,gay party,1,0,0,0
Oxfam,oxfam,1,0,0,0
Students Against Green Pass,students against green pass,0,0,0,1
The Fair Mean,the fair mean,0,0,0,1
Burmese Group (Italy),burmese group (italy),0,0,0,1
UNICEF: United Nations Childrens Fund,unicef: united nations childrens fund,1,0,0,0
ANIEF: Italian National Association of Teachers and Trainers,anief: italian national association of teachers and trainers,0,0,0,1
ANCI: National Association of Italian Municipalities,anci: national association of italian municipalities,0,0,0,1
Migrants (Pakistan),migrants (pakistan),0,0,0,1
Refugees/IDPs (Pakistan),refugees/idps (pakistan),0,0,0,1
CARC: Committees to Support the Resistance for Communism,carc: committees to support the resistance for communism,1,0,0,0
Catanese Anti-racist Network,catanese anti-racist network,1,0,0,0
No Border Network,no border network,1,0,0,0
Slot Mob Movement,slot mob movement,0,0,0,1
The Economy of Francesco,the economy of francesco,0,0,0,1
Ethiopian Group (Italy),ethiopian group (italy),0,0,0,1
World Wide Rally for Freedom,world wide rally for freedom,1,0,0,0
GJ: Yellow Vests,gj: yellow vests,0,0,0,1
Iranian Group (Italy),iranian group (italy),0,0,0,1
GD: Young Democrats,gd: young democrats,1,0,0,0
Possible,possible,0,0,0,1
VIU: United Businesses Veneto,viu: united businesses veneto,0,0,0,1
Anarchist Group (Belgium),anarchist group (belgium),1,0,0,0
Anarchist Group (France),anarchist group (france),1,0,0,0
Anarchist Group (Germany),anarchist group (germany),1,0,0,0
Protesters (Belgium),protesters (belgium),0,0,0,1
Protesters (Germany),protesters (germany),0,0,0,1
AFI: Italian Fair Operators' Association,afi: italian fair operators' association,0,0,0,1
PN: Nationalist Party,pn: nationalist party,0,1,0,0
Genova Free Square,genova free square,0,0,0,1
Anarchist Group (Bulgaria),anarchist group (bulgaria),1,0,0,0
Anarchist Group (Poland),anarchist group (poland),1,0,0,0
Anarchist Group (Portugal),anarchist group (portugal),1,0,0,0
Anarchist Group (Switzerland),anarchist group (switzerland),1,0,0,0
Protesters (Poland),protesters (poland),0,0,0,1
Protesters (Portugal),protesters (portugal),0,0,0,1
Protesters (Switzerland),protesters (switzerland),0,0,0,1
FSI-USAE: Independent Trade Unions Federation - Union of European Autonomous Trade Unions,fsi-usae: independent trade unions federation - union of european autonomous trade unions,0,0,0,1
Refugees/IDPs (Italy),refugees/idps (italy),0,0,0,1
Labor Group (France),labor group (france),0,0,0,1
Labor Group (Eritrea),labor group (eritrea),0,0,0,1
Migrants (Eritrea),migrants (eritrea),0,0,0,1
Protesters (Afghanistan),protesters (afghanistan),0,0,0,1
Refugees/IDPs (Afghanistan),refugees/idps (afghanistan),0,0,0,1
Former Police Forces of Italy (2018-2022),former police forces of italy (2018-2022),0,0,0,1
Protestant Christian Group (Italy),protestant christian group (italy),0,0,0,1
Brazilian Group (Italy),brazilian group (italy),0,0,0,1
Solidary Democracy,solidary democracy,1,0,0,0
Rainbow Families,rainbow families,1,0,0,0
CONAPO: Autonomous Trade Union of Firefighters,conapo: autonomous trade union of firefighters,0,0,0,1
"UCDL: Union for Cure, Rights and Freedom","ucdl: union for cure, rights and freedom",0,0,0,1
PAE: European Animalist Party,pae: european animalist party,1,0,0,0
PAI: Italian Animalist Party,pai: italian animalist party,1,0,0,0
Health Workers (International),health workers (international),0,0,0,1
Lawyers (International),lawyers (international),0,0,0,1
Ivorian Group (Italy),ivorian group (italy),0,0,0,1
FAILMS: Italian Autonomous Federation of Metal Workers and Services,failms: italian autonomous federation of metal workers and services,0,0,0,1
AS: Student Action,as: student action,0,0,1,0
SIAL COBAS: Self-organized Cobas Workers Union,sial cobas: self-organized cobas workers union,1,0,0,0
Russian Group (Italy),russian group (italy),0,0,0,1
FSSI: Italy Sports Trade Union Federation,fssi: italy sports trade union federation,0,0,0,1
Do.Ra.: Militant Community of the Twelve Rays,do.ra.: militant community of the twelve rays,0,1,0,0
Right to Health,right to health,1,0,0,0
CONFAEL: Autonomous European Workers Confederation,confael: autonomous european workers confederation,0,0,0,1
AZFM: Mountain Free Zones Association,azfm: mountain free zones association,0,0,0,1
Women (International),women (international),0,0,0,1
MIS: Social Idea Movement,mis: social idea movement,0,1,0,0
Colombian Group (Italy),colombian group (italy),0,0,0,1
Government of Hungary (2010-),government of hungary (2010-),0,1,0,0
Government of Poland (2015-2023),government of poland (2015-2023),0,1,0,0
Protesters (Hungary),protesters (hungary),0,0,0,1
Protesters (United Kingdom),protesters (united kingdom),0,0,0,1
SPUC: Society for the Protection of Unborn Children,spuc: society for the protection of unborn children,0,1,0,0
Refugees/IDPs (Somalia),refugees/idps (somalia),0,0,0,1
NPOP: No Profit On Pandemic,npop: no profit on pandemic,0,0,0,1
Journalists (United Kingdom),journalists (united kingdom),0,0,0,1
Labor Group (Spain),labor group (spain),0,0,0,1
Protesters (Spain),protesters (spain),0,0,0,1
Moroccan Group (Italy),moroccan group (italy),0,0,0,1
LGBTQ+ (Slovenia),lgbtq+ (slovenia),0,0,0,1
Women (Afghanistan),women (afghanistan),0,0,0,1
Ecuadorian Group (Italy),ecuadorian group (italy),0,0,0,1
Protesters (San Marino),protesters (san marino),0,0,0,1
CSdL: San Marino Confederation of Labor,csdl: san marino confederation of labor,1,0,0,0
Labor Group (San Marino),labor group (san marino),0,0,0,1
Chilean Group (Italy),chilean group (italy),0,0,0,1
Lithuanian Group (Italy),lithuanian group (italy),0,0,0,1
Ukrainian Group (Italy),ukrainian group (italy),0,0,0,1
Left For,left for,1,0,0,0
FIAB: Italian Environment and Bicycle Federation,fiab: italian environment and bicycle federation,1,0,0,0
Uritaxi: Union representing Italian Taxi Drivers,uritaxi: union representing italian taxi drivers,0,0,0,1
Pakistani Group (Italy),pakistani group (italy),0,0,0,1
Shiite Muslim Group (Italy),shiite muslim group (italy),0,0,0,1
Labor Group (Pakistan),labor group (pakistan),0,0,0,1
FAI: Italian Anarchist Federation,fai: italian anarchist federation,1,0,0,0
Animal Rebellion,animal rebellion,1,0,0,0
EZLN: Zapatista Army of National Liberation,ezln: zapatista army of national liberation,1,0,0,0
Zapatistas,zapatistas,1,0,0,0
Protesters (Sweden),protesters (sweden),0,0,0,1
Protesters (Uganda),protesters (uganda),0,0,0,1
FdS: Students' Federation,fds: students' federation,1,0,0,0
CMI: Confederation of Identity Movements,cmi: confederation of identity movements,0,1,0,0
More Italy,more italy,0,0,0,1
Aid Workers (Italy),aid workers (italy),0,0,0,1
ICRC: International Committee of the Red Cross,icrc: international committee of the red cross,1,0,0,0
Cameroonian Group (Italy),cameroonian group (italy),0,0,0,1
Women (Iran),women (iran),0,0,0,1
Government of Italy (2022-),government of italy (2022-),0,1,0,0
Government of France (2017-),government of france (2017-),0,1,0,0
Hazara Ethnic Group (Italy),hazara ethnic group (italy),0,0,0,1
PKK: Kurdistan Workers' Party,pkk: kurdistan workers' party,1,0,0,0
BD: The Good Right,bd: the good right,0,1,0,0
AVS: Greens and Left Alliance,avs: greens and left alliance,1,0,0,0
Greens/EFA: Greens-European Free Alliance,greens/efa: greens-european free alliance,1,0,0,0
UP: People's Union,up: people's union,1,0,0,0
Women (Ukraine),women (ukraine),0,0,0,1
Bosnian-Herzegovinian Group (Italy),bosnian-herzegovinian group (italy),0,0,0,1
Georgian Group (Italy),georgian group (italy),0,0,0,1
CI: Courage Italy,ci: courage italy,0,1,0,0
Evangelical Christian Group (Italy),evangelical christian group (italy),0,0,0,1
Pax Christi,pax christi,0,0,0,1
Sardigna Natzione,sardigna natzione,1,0,0,0
Government of Ukraine (2019-),government of ukraine (2019-),0,0,0,1
Government of Greece (2019-),government of greece (2019-),0,1,0,0
Protesters (Greece),protesters (greece),0,0,0,1
Christian Group (Ukraine),christian group (ukraine),0,0,0,1
Protesters (Georgia),protesters (georgia),0,0,0,1
Government of Moldova (2019-2023) Gagauzia Regional Government,government of moldova (2019-2023) gagauzia regional government,0,0,0,1
