actor_clean,actor_clean_lower,left,right,centre,unknown
Protesters (Bosnia and Herzegovina),protesters (bosnia and herzegovina),0,0,0,1
Japanese Group (Germany),japanese group (germany),0,0,0,1
Korean Group (Germany),korean group (germany),0,0,0,1
Venezuelan Group (Germany),venezuelan group (germany),0,0,0,1
Serbian Group (Germany),serbian group (germany),0,0,0,1
Animal Equality,animal equality,1,0,0,0
Farmers (Netherlands),farmers (netherlands),0,0,0,1
Labor Group (Netherlands),labor group (netherlands),0,0,0,1
Alliance Sahra Wagenknecht,alliance sahra wagenknecht,1,0,0,0
Farmers (Luxembourg),farmers (luxembourg),0,0,0,1
Lebanese Group (Germany),lebanese group (germany),0,0,0,1
Journalists (Russia),journalists (russia),0,0,0,1
FAZ: Feminist Autonomous Cell,faz: feminist autonomous cell,1,0,0,0
Gambian Group (Germany),gambian group (germany),0,0,0,1
Oxfam,oxfam,1,0,0,0
LVR: The Voice of Reunion,lvr: the voice of reunion,0,0,0,1
Bangladeshi Group (Germany),bangladeshi group (germany),0,0,0,1
AV: Anonymous for the Voiceless,av: anonymous for the voiceless,1,0,0,0
Protesters (Democratic Republic of Congo),protesters (democratic republic of congo),0,0,0,1
Mission Lifeline,mission lifeline,1,0,0,0
Youth Against the Right,youth against the right,1,1,0,0
IBOE: Identitarian Movement Austria,iboe: identitarian movement austria,0,1,0,0
BSW: Sahra Wagenknecht Alliance - Reason and Justice,bsw: sahra wagenknecht alliance - reason and justice,1,0,0,0
Kosovan Group (Germany),kosovan group (germany),0,0,0,1
Human Environment Animal Protection Party,human environment animal protection party,1,0,0,0
Last Generation (Austria),last generation (austria),1,0,0,0
Alliance Germany,alliance germany,1,0,0,0
Former Military Forces of Israel (2022-),former military forces of israel (2022-),0,0,0,1
PKK: Kurdistan Workers' Party,pkk: kurdistan workers' party,1,0,0,0
DJV: German Youth Forward,djv: german youth forward,0,1,0,0
