actor_clean,actor_clean_lower,left,right,centre,unknown
"ROSA: For Reproductive Rights, Against Oppression, Sexism & Austerity","rosa: for reproductive rights, against oppression, sexism & austerity",1,0,0,0
MEI: Independent Ecological Movement,mei: independent ecological movement,1,0,0,0
Protesters (Sweden),protesters (sweden),0,0,0,1
Students (Sweden),students (sweden),0,0,0,1
NCRI: National Council of Resistance of Iran,ncri: national council of resistance of iran,0,0,0,1
LS: League of the South,ls: league of the south,0,1,0,0
Indian Group (France),indian group (france),0,0,0,1
Migrants (Albania),migrants (albania),0,0,0,1
PNV: Basque Nationalist Party,pnv: basque nationalist party,0,0,0,1
Aid Workers (Belgium),aid workers (belgium),0,0,0,1
Israeli Group (France),israeli group (france),0,0,0,1
Protestant Christian Group (France),protestant christian group (france),0,0,0,1
GES: Ecosocialist Left,ges: ecosocialist left,1,0,0,0
Women in Black,women in black,1,0,0,0
ADMD: Association for the Right to Die with Dignity,admd: association for the right to die with dignity,0,0,0,1
Samidoun: Palestinian Prisoner Solidarity Network,samidoun: palestinian prisoner solidarity network,1,0,0,0
DVC: Miscellaneous Center,dvc: miscellaneous center,0,0,1,0
Mothers Rebellion,mothers rebellion,1,0,0,0
SSCS: Sea Shepherd Conservation Society,sscs: sea shepherd conservation society,0,0,0,1
PP: Public Square,pp: public square,1,0,0,0
FGR-FP: General Federation of Retired Civil Servants,fgr-fp: general federation of retired civil servants,0,0,0,1
Congolese Group (France),congolese group (france),0,0,0,1
SL: Let's Be Free,sl: let's be free,0,0,1,0
LDH: Human Rights League (Belgium),ldh: human rights league (belgium),1,0,0,0
TDP: Territories of Progress,tdp: territories of progress,1,0,0,0
Catalan Group (Spain),catalan group (spain),0,0,0,1
Women (Switzerland),women (switzerland),0,0,0,1
Protesters (Brazil),protesters (brazil),0,0,0,1
Women's Environmental Network,women's environmental network,1,0,0,0
Scientist Rebellion,scientist rebellion,1,0,0,0
Farmers (Spain),farmers (spain),0,0,0,1
Stay Grounded,stay grounded,1,0,0,0
FA-FP: Autonomous Public Service Federation,fa-fp: autonomous public service federation,0,0,0,1
Nation,nation,0,0,0,1
"FNEC FP-FO: Federation of Education, Culture and Vocational Training (France)","fnec fp-fo: federation of education, culture and vocational training (france)",0,0,0,1
SNEP-FSU: National Union of Physical Education,snep-fsu: national union of physical education,1,0,0,0
UEJF: Union of Jewish Students of France,uejf: union of jewish students of france,1,0,0,0
Taiwanese Group (France),taiwanese group (france),0,0,0,1
AUP: Act Up-Paris,aup: act up-paris,1,0,0,0
Georgian Group (France),georgian group (france),0,0,0,1
NFP: New Popular Front,nfp: new popular front,1,0,0,0
FSPF: Federation of Pharmacists,fspf: federation of pharmacists,0,0,0,1
CNOP: National Order of Pharmacists,cnop: national order of pharmacists,0,0,0,1
USPO: Union Group of Pharmacists,uspo: union group of pharmacists,0,0,0,1
Protesters (Venezuela),protesters (venezuela),0,0,0,1
Venezuelan Group (France),venezuelan group (france),0,0,0,1
Kanak Ethnic Group (France),kanak ethnic group (france),0,0,0,1
Women (Reunion),women (reunion),0,0,0,1
Pd!: Arise Picardy!,pd!: arise picardy!,0,1,0,0
The Aftermath,the aftermath,0,0,0,1
Ue: Student Union,ue: student union,0,0,0,1
USL: High School Union,usl: high school union,0,0,0,1
Kanak Ethnic Group (New Caledonia),kanak ethnic group (new caledonia),0,0,0,1
Protesters (New Caledonia),protesters (new caledonia),0,0,0,1
UC: Caledonian Union,uc: caledonian union,1,0,0,0
New Caledonian Group (France),new caledonian group (france),0,0,0,1
Catholic Christian Group (India),catholic christian group (india),0,0,0,1
Argentinian Group (France),argentinian group (france),0,0,0,1
Alsatian Group (France),alsatian group (france),0,0,0,1
Occitanian Group (France),occitanian group (france),0,0,0,1
Kurdish Ethnic Group (International),kurdish ethnic group (international),0,0,0,1
Health Workers (International),health workers (international),0,0,0,1
Angry Liberal Nurses,angry liberal nurses,1,0,0,0
PT: Workers' Party (France),pt: workers' party (france),0,0,0,1
FO: Workers' Front,fo: workers' front,1,0,0,0
GUE/NGL: The Left in the European Parliament,gue/ngl: the left in the european parliament,1,0,0,0
Migrants (Ethiopia),migrants (ethiopia),0,0,0,1
Bangladeshi Group (France),bangladeshi group (france),0,0,0,1
FLNC: National Liberation Front of Corsica,flnc: national liberation front of corsica,0,0,0,1
AD!: To the right,ad!: to the right,0,1,0,0
Buddhist Group (France),buddhist group (france),0,0,0,1
Euskal Herria Bai,euskal herria bai,0,0,0,1
ND: New Deal,nd: new deal,0,0,0,1
Egyptian Group (France),egyptian group (france),0,0,0,1
MRC: Citizen and Republican Movement,mrc: citizen and republican movement,1,0,0,0
Protesters (Guadeloupe),protesters (guadeloupe),0,0,0,1
Protesters (Martinique),protesters (martinique),0,0,0,1
UDR: Union of the Right for the Republic,udr: union of the right for the republic,0,1,0,0
Farmers (Germany),farmers (germany),0,0,0,1
Farmers (Belgium),farmers (belgium),0,0,0,1
FJA: Federation of Young Farmers,fja: federation of young farmers,0,1,0,0
R&PS: Regions and People in Solidarity,r&ps: regions and people in solidarity,0,0,0,1
Labor Group (Italy),labor group (italy),0,0,0,1
